id,HoTen,GioiTinh,DiaChiLienLac,SDT,Luong,VaiTro,MaBP,MaKhoa
NV00131,Betty Hurren,Female,3378 Maple Wood Plaza,810-164-3376,940000,montes nascetur,QLNS,GAS
NV00172,Rosa Dipple,Female,882 Maple Wood Drive,253-897-9800,110000,ut at dolor,KT,IM
NV00869,Celeste Vaskov,Male,0761 Dovetail Court,303-734-5737,430000,dis parturient,QLNS,DER
NV00613,Corey Moxson,Male,75203 Sunnyside Pass,797-839-1953,110000,suscipit nulla,BT,NEU
NV00661,Wallis Bockings,Female,6 Division Crossing,210-184-2395,490000,vel augue vestibulum,BT,DID
NV00584,Kendra Rannie,Male,5149 Glendale Junction,673-691-7923,780000,id lobortis convallis tortor,QLNS,AED
NV00501,Danila Haselhurst,Female,98125 Dovetail Center,839-282-4216,90000,tellus,QLTV,DER
NV00732,Jenda Lindsey,Female,00306 Kedzie Parkway,389-250-3618,630000,amet sem,QLTN,IM
NV00202,Osgood Ralphs,Female,7 Tennessee Way,790-402-3000,890000,sed ante,BT,IM
NV00775,Vick Frangione,Female,2610 Arizona Street,858-491-6589,470000,convallis morbi,KT,CAR
NV00989,Myca Tingley,Male,43 Cottonwood Parkway,549-577-9801,510000,eros suspendisse accumsan tortor,QLTN,CAR
NV00515,Judon Jindracek,Female,25398 Huxley Pass,900-889-9025,720000,mauris viverra diam,KT,DID
NV00461,Ortensia Doak,Male,627 Scott Trail,173-473-9178,880000,etiam pretium iaculis,TTDP,GAS
NV00622,Jenelle McGinnis,Male,75 Grasskamp Terrace,638-456-6643,440000,pede justo eu massa,KT,ODO
NV00296,Danette Soreau,Female,2 Hansons Trail,474-614-9272,640000,tortor eu pede,BT,CAR
NV00081,Sharity Escala,Female,16165 Autumn Leaf Avenue,356-539-1343,100000,congue eget,QLTN,DID
NV00335,Parnell Lapenna,Male,828 Scott Junction,180-200-3489,950000,porttitor id consequat in,BT,DID
NV00691,Bernita Whal,Male,3185 Brickson Park Circle,533-853-4352,180000,aliquam lacus morbi quis,QLNS,IM
NV00606,Fanya Pinnell,Female,487 Redwing Center,566-788-7273,30000,tempor convallis nulla neque,QLTN,AED
NV00197,Hillyer Leggate,Female,3 Clarendon Circle,834-735-1926,820000,sed justo pellentesque,QLTN,GAS
NV00277,Ashla Thomesson,Female,3121 Dakota Plaza,776-984-5079,340000,lacinia aenean sit,KT,END
NV00427,Dacy Fletcher,Male,33 Starling Center,476-525-6464,460000,ante,KT,IM
NV00548,Jory Giovannardi,Female,11 Esch Drive,586-235-4767,460000,nunc viverra dapibus,QLTN,NEU
NV00912,Kary Romei,Male,49853 Service Center,584-720-5154,210000,ut nulla sed accumsan,QLTV,DID
NV00455,Charmian Zupo,Female,24 Jay Court,731-421-3195,800000,donec dapibus duis at,QLTV,AED
NV00043,Tove Siggee,Male,695 Mariners Cove Park,137-603-6371,810000,aliquam lacus,QLNS,END
NV00034,Teodoro McCloughlin,Male,5 Cody Trail,966-849-1339,550000,tellus nisi,BT,DER
NV00953,Pen Shenley,Male,0 Knutson Plaza,701-237-4288,610000,quam sollicitudin,BT,ODO
NV00342,Hale Balfre,Male,69 Anniversary Plaza,607-661-4711,540000,mauris eget massa tempor,BT,NEU
NV00597,Sherline Druhan,Female,505 Westport Crossing,325-682-2067,140000,ultrices phasellus id,QLNS,GAS
NV00113,Bea O'Shaughnessy,Male,0759 Welch Hill,398-194-9811,920000,rhoncus aliquet pulvinar,BT,END
NV00218,Angelico Furzer,Male,4629 Hauk Trail,845-731-3439,680000,in hac habitasse platea,QLTN,DER
NV00416,Simonne Trembath,Female,2826 Vidon Parkway,693-886-0708,850000,maecenas ut massa quis,KT,NEU
NV00469,Kip Marshman,Female,48664 Bunker Hill Terrace,497-314-8493,160000,scelerisque mauris sit,KT,DID
NV00826,Emmalee Doucette,Female,137 Merrick Avenue,569-810-8273,940000,in quam fringilla,QLTV,AED
NV00287,Phyllida Menghi,Male,19270 Hanson Point,184-795-2890,430000,aliquam,KT,ODO
NV00902,Rancell Giddons,Male,9 Shopko Trail,185-679-6196,280000,dapibus,QLTN,CAR
NV00397,Kearney Stothert,Female,68 Dunning Park,838-627-0326,980000,imperdiet sapien urna,QLTV,DER
NV00334,Mignonne Kembry,Male,771 Gateway Hill,474-794-5444,870000,platea dictumst,KT,NEU
NV00553,Diana Weatherdon,Male,65746 Hazelcrest Terrace,226-552-5082,510000,amet lobortis sapien,TTDP,DER
NV00936,Jillian Rickell,Female,9332 Bowman Point,125-189-7258,90000,et,QLNS,GAS
NV00762,Davey Dory,Male,4464 Di Loreto Road,655-982-2541,990000,placerat ante nulla,KT,CAR
NV00780,Laina Gisburne,Male,43056 Ohio Point,790-671-1855,800000,vitae nisl aenean lectus,TTDP,IM
NV00659,Sky Meijer,Male,1757 Center Lane,764-380-6655,820000,in faucibus orci,BT,CAR
NV00068,Freeman Delagua,Female,2548 Vera Terrace,571-233-1064,940000,commodo vulputate,KT,DID
NV00835,Sula Slimming,Female,8 Kingsford Crossing,537-994-0093,160000,sapien,BT,GAS
NV00585,Leontyne Emberton,Female,475 Russell Road,265-770-4084,900000,montes nascetur ridiculus,KT,NEU
NV00542,Devondra Elderidge,Female,3292 Ridge Oak Crossing,757-121-0144,610000,tellus semper interdum,BT,DER
NV00529,Archibald Rotherham,Female,35 Ludington Plaza,278-454-6519,940000,montes,KT,END
NV00252,Maureene Feldklein,Female,26 Bluestem Junction,233-224-4372,950000,feugiat,TTDP,CAR
